playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,PPG,APG,RPG,SPG,BPG,full_team_name,ranking,wins,win_percentage
Karl Malone*,PF,UTA,81,1667,379,628,136,31,210,0.463,2003,PF,81,21.7,27.800,6.9,4.3,11.1,3.2,1.0,4.6,20.580246913580247,4.679012345679013,7.753086419753086,1.6790123456790123,0.38271604938271603,Utah Jazz,9,47,0.573
Stephon Marbury,PG,PHO,81,1806,654,263,108,20,263,0.468,2003,PG,81,20.1,27.700,7.1,2.5,9.6,3.7,-0.7,4.0,22.296296296296298,8.074074074074074,3.246913580246914,1.3333333333333333,0.24691358024691357,Phoenix Suns,11,44,0.537
Shawn Marion,SF,PHO,81,1716,198,773,185,95,157,0.500,2003,SF,81,21.3,23.300,7.3,5.8,13.0,3.9,1.7,6.5,21.185185185185187,2.4444444444444446,9.54320987654321,2.2839506172839505,1.1728395061728396,Phoenix Suns,11,44,0.537
Kenyon Martin,PF,NJN,77,1283,185,640,98,70,192,0.475,2003,PF,77,16.9,24.800,1.8,5.3,7.1,-0.2,1.2,2.0,16.662337662337663,2.4025974025974026,8.311688311688311,1.2727272727272727,0.9090909090909091,New Jersey Nets,6,49,0.598
Jamal Mashburn,SF,NOH,82,1772,462,498,83,17,230,0.460,2003,SF,82,18.0,27.100,5.4,3.6,9.0,2.6,-0.4,3.5,21.609756097560975,5.634146341463414,6.073170731707317,1.0121951219512195,0.2073170731707317,New Orleans Hornets,10,47,0.573
Tracy McGrady*,SG,ORL,75,2407,411,488,124,59,195,0.505,2003,SG,75,30.3,35.200,13.2,2.9,16.1,9.8,0.7,9.3,32.093333333333334,5.48,6.506666666666667,1.6533333333333333,0.7866666666666666,Orlando Magic,15,42,0.512
Mike Miller,SF,ORL,49,806,139,286,36,16,99,0.480,2003,SF,49,13.9,21.400,1.8,1.2,3.0,0.7,-1.3,0.7,16.448979591836736,2.836734693877551,5.836734693877551,0.7346938775510204,0.32653061224489793,Orlando Magic,15,42,0.512
Cuttino Mobley,SG,HOU,73,1280,208,303,95,36,166,0.486,2003,SG,73,14.7,20.600,4.5,2.5,6.9,0.5,-0.2,1.7,17.534246575342465,2.8493150684931505,4.1506849315068495,1.3013698630136987,0.4931506849315068,Houston Rockets,13,43,0.524
Steve Nash*,PG,DAL,82,1455,598,234,85,6,192,0.515,2003,PG,82,22.6,24.400,9.7,1.9,11.6,5.4,-0.8,4.5,17.74390243902439,7.2926829268292686,2.8536585365853657,1.0365853658536586,0.07317073170731707,Dallas Mavericks,-1,60,0.732
Dirk Nowitzki*,PF,DAL,80,2011,239,791,111,82,152,0.513,2003,PF,80,25.6,27.400,10.8,5.3,16.1,5.8,1.4,7.3,25.1375,2.9875,9.8875,1.3875,1.025,Dallas Mavericks,-1,60,0.732
Jermaine O'Neal,PF,IND,77,1600,155,796,66,178,180,0.487,2003,PF,77,21.4,26.200,5.3,5.2,10.5,2.0,0.9,3.5,20.77922077922078,2.012987012987013,10.337662337662337,0.8571428571428571,2.311688311688312,Indiana Pacers,7,48,0.585
Shaquille O'Neal*,C,LAL,67,1841,206,742,38,159,196,0.574,2003,C,67,29.5,30.200,10.2,3.0,13.2,6.4,0.1,5.5,27.47761194029851,3.074626865671642,11.074626865671641,0.5671641791044776,2.373134328358209,Los Angeles Lakers,4,50,0.61
Tony Parker*,PG,SAS,82,1269,432,216,71,4,198,0.503,2003,PG,82,16.5,22.900,5.1,2.6,7.7,1.4,-1.0,1.7,15.475609756097562,5.2682926829268295,2.6341463414634148,0.8658536585365854,0.04878048780487805,San Antonio Spurs,0,60,0.732
Gary Payton*,PG,SEA,52,1084,457,248,93,12,131,0.465,2003,PG,52,21.4,27.100,4.3,1.9,6.2,4.0,0.1,3.2,20.846153846153847,8.788461538461538,4.769230769230769,1.7884615384615385,0.23076923076923078,Seattle SuperSonics,16,40,0.488
Paul Pierce*,SG,BOS,79,2048,349,578,139,62,288,0.454,2003,SG,79,22.7,33.200,5.3,4.8,10.1,4.2,0.7,5.4,25.924050632911392,4.417721518987341,7.3164556962025316,1.759493670886076,0.7848101265822784,Boston Celtics,12,44,0.537
Michael Redd,SG,MIL,82,1241,117,371,100,13,74,0.562,2003,SG,82,21.0,22.600,6.9,1.1,8.0,5.0,-1.2,3.4,15.134146341463415,1.4268292682926829,4.524390243902439,1.2195121951219512,0.15853658536585366,Milwaukee Bucks,14,42,0.512
