playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,teamName,wins,topWsPlayer
Derek Strong,PF,ORL,44,223,17,161,15,7,37,0.422,1999,PF,44,12.1,17.000,0.6,1.0,1.6,-2.0,-0.5,-0.1,,,
Bruno Šundov,C,DAL,3,4,1,0,0,0,1,0.286,1999,C,3,-8.8,33.400,-0.1,0.0,-0.1,-14.9,-4.5,0.0,,,
Bob Sura,PG,CLE,50,214,152,102,46,14,67,0.355,1999,PG,50,11.0,18.700,-0.7,1.1,0.4,-2.5,1.3,0.2,,,
Johnny Taylor,SF,DEN,36,207,24,101,28,17,34,0.480,1999,SF,36,9.5,15.100,0.2,0.0,0.2,-2.4,-0.6,-0.2,,,
Maurice Taylor,PF,LAC,46,773,67,242,16,29,120,0.461,1999,PF,46,15.2,26.700,1.2,-0.5,0.7,-0.7,-3.5,-0.9,,,
John Thomas,C,TOR,39,169,15,134,17,9,21,0.577,1999,C,39,13.7,12.600,1.2,0.4,1.5,-0.6,-1.3,0.0,,,
Kurt Thomas,PF,NYK,50,406,55,286,45,17,73,0.462,1999,PF,50,13.1,19.800,0.2,2.3,2.5,-2.1,1.2,0.4,,,
Tim Thomas,SF,TOT,50,358,46,126,26,12,46,0.511,1999,SF,50,16.0,21.700,1.5,0.7,2.2,1.0,-0.5,0.5,,,
Tim Thomas,SF,PHI,17,78,15,33,3,3,15,0.440,1999,SF,17,12.8,22.300,0.1,0.2,0.4,-0.6,-0.4,0.1,,,
Tim Thomas,SF,MIL,33,280,31,93,23,9,31,0.533,1999,SF,33,16.9,21.600,1.4,0.5,1.8,1.5,-0.6,0.5,,,
Otis Thorpe,PF,WAS,49,554,101,334,42,19,88,0.545,1999,PF,49,15.0,17.200,2.3,1.4,3.7,-0.5,0.2,0.6,,,
Robert Traylor,C,MIL,49,259,38,182,44,44,42,0.537,1999,C,49,17.0,16.900,1.3,1.2,2.5,-0.8,1.7,0.6,,,
Gary Trent,PF,DAL,45,719,77,351,29,23,66,0.477,1999,PF,45,20.8,26.000,3.0,1.0,4.0,2.6,-1.4,1.1,,,
Nick Van Exel,PG,DEN,50,826,368,113,40,3,121,0.445,1999,PG,50,16.7,24.300,3.2,-1.0,2.2,2.6,-3.4,0.6,,,
Keith Van Horn,PF,NJN,42,916,65,358,43,53,133,0.439,1999,PF,42,19.6,28.500,2.3,1.4,3.7,2.0,-0.8,1.3,,,
David Vaughn,PF,NJN,10,34,1,34,2,8,11,0.542,1999,PF,10,13.5,16.900,0.0,0.1,0.2,-5.1,-0.8,-0.1,,,
Jacque Vaughn,PG,UTA,19,44,12,11,5,0,14,0.400,1999,PG,19,13.3,30.000,0.0,0.1,0.1,-4.5,0.5,0.0,,,
Loy Vaught,PF,DET,37,127,11,146,15,6,17,0.381,1999,PF,37,10.2,17.600,-0.3,0.8,0.5,-3.3,-1.0,-0.3,,,
Stojko Vranković,C,LAC,2,2,0,6,0,0,0,0.250,1999,C,2,10.7,15.100,0.0,0.0,0.0,0.4,-9.7,0.0,,,
Antoine Walker,PF,BOS,42,784,130,359,63,28,119,0.456,1999,PF,42,17.0,27.200,0.6,1.9,2.6,1.6,-0.6,1.2,,,
Samaki Walker,PF,DAL,39,229,6,143,9,16,37,0.463,1999,PF,39,12.6,21.800,0.1,0.5,0.6,-2.9,-1.7,-0.4,,,
Ben Wallace*,C,WAS,46,277,18,384,50,90,36,0.578,1999,C,46,16.2,11.000,1.5,2.1,3.6,0.3,1.5,1.2,,,
John Wallace,SF,TOR,48,411,46,171,12,43,70,0.432,1999,SF,48,15.9,27.400,0.4,0.7,1.0,-0.9,-1.4,-0.1,,,
Rasheed Wallace,PF,POR,49,628,60,241,48,54,80,0.522,1999,PF,49,16.7,20.500,2.6,2.4,5.0,0.2,1.8,1.4,,,
Rex Walters,SG,MIA,33,101,58,50,10,3,32,0.432,1999,SG,33,6.9,13.400,0.0,0.5,0.5,-3.1,0.4,-0.1,,,
Charlie Ward,PG,NYK,50,378,271,172,103,8,131,0.484,1999,PG,50,13.2,15.400,0.2,2.9,3.1,-0.8,2.6,1.5,,,
Eric Washington,SG,DEN,38,205,30,89,25,18,34,0.497,1999,SG,38,9.5,13.800,0.5,-0.1,0.3,-1.5,-0.8,-0.1,,,
Jamie Watson,SF,MIA,3,2,1,1,0,0,1,0.500,1999,SF,3,1.9,8.200,0.0,0.0,0.0,-3.3,-0.4,0.0,,,
Clarence Weatherspoon,SF,MIA,49,397,34,243,28,17,61,0.534,1999,SF,49,17.0,18.400,2.3,1.7,4.0,0.3,0.3,0.7,,,
Chris Webber*,PF,SAC,42,839,173,545,60,89,148,0.488,1999,PF,42,19.5,24.900,1.0,2.7,3.6,0.8,1.1,1.7,,,
Bonzi Wells,SF,POR,7,31,3,9,1,1,6,0.575,1999,SF,7,26.3,44.400,0.0,0.1,0.1,2.3,-1.3,0.0,,,
Bill Wennington,C,CHI,38,143,18,79,13,12,17,0.351,1999,C,38,7.0,21.400,-0.7,0.5,-0.3,-6.3,-0.6,-0.6,,,
David Wesley,PG,CHH,50,706,322,161,100,10,142,0.502,1999,PG,50,16.9,19.800,3.1,1.7,4.8,1.5,0.2,1.7,,,
Doug West,SG,VAN,14,81,19,25,16,7,12,0.477,1999,SG,14,11.5,13.700,0.3,0.1,0.4,-3.0,1.5,0.0,,,
Mark West,C,ATL,49,60,13,125,4,22,17,0.373,1999,C,49,6.5,9.000,-0.1,0.8,0.7,-4.7,1.0,-0.2,,,
DeJuan Wheat,PG,VAN,46,208,102,45,26,2,48,0.435,1999,PG,46,12.8,20.600,0.2,0.1,0.3,-0.8,-1.6,-0.1,,,
Tyson Wheeler,PG,DEN,1,4,2,0,0,0,0,1.500,1999,PG,1,76.1,28.400,0.1,0.0,0.1,42.5,8.5,0.0,,,
Jahidi White,PF,WAS,20,49,1,58,3,11,16,0.531,1999,PF,20,9.4,15.300,-0.1,0.2,0.2,-5.3,-0.8,-0.2,,,
Chris Whitney,PG,WAS,39,187,69,47,18,2,36,0.513,1999,PG,39,15.8,21.500,0.7,0.3,1.0,1.7,-0.2,0.4,,,
